Policy_id,Country_id,Policy_type,Policy_subtype,Policy_start_date,Air_ban,Air_ban_type,Air_ban_info,Land_ban,Land_ban_type,Land_ban_info,Sea_ban,Sea_ban_type,Sea_ban_info
14063,SLB,PARTIAL,BORDER_CLOSURE,2020-06-15,1,All,no policy,0,no policy,no policy,0,no policy,no policy
1132,SLV,PARTIAL,BORDER_CLOSURE,2020-03-17,1,All,no policy,0,no policy,no policy,0,no policy,no policy
10523,SOM,PARTIAL,BORDER_CLOSURE,2020-05-14,0,no policy,no policy,1,Specific,"Kenya, Ethiopia",0,no policy,no policy
SN15,SPM,PARTIAL,BORDER_CLOSURE,2020-03-23,1,All,no policy,0,no policy,no policy,0,no policy,no policy
SN7,STP,PARTIAL,BORDER_CLOSURE,2020-07-01,1,Specific,"Afghanistan, Aland Islands, Albania, Algeria, American Samoa, Andorra, Anguilla, Antarctica, Antigua and Barbuda, Argentina, Armenia, Aruba, Australia, Austria, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belgium, Belize, Benin, Bermuda, Bhutan, Bolivia, Bonaire, Sint Eustatius and Saba, Bosnia and Herzegovina, Botswana, Bouvet Island, British Indian Ocean Territory, Brunei Darussalam, Bulgaria, Burkina Faso, Burundi, Cambodia, Cameroon, Canada, Cayman Islands, Central African Republic, Chad, Chile, China, Christmas Island, Cocos (Keeling) Islands, Colombia, Comoros, Congo, Democratic Republic of the Congo, Cook Islands, Costa Rica, Côte d'Ivoire, Croatia, Cuba, Curaçao, Cyprus, Czech Republic, Denmark, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Estonia, Eswatini, Ethiopia, Falkland Islands (Malvinas), Faroe Islands, Fiji, Finland, France, French Guiana, French Polynesia, French Southern Territories, Gabon, Gambia, Georgia, Germany, Ghana, Gibraltar, Greece, Greenland, Grenada, Guadeloupe, Guam, Guatemala, Guernsey, Guinea, Guyana, Haiti, Heard Island and McDonald Islands, Holy See (Vatican City State), Honduras, Hong Kong, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Isle of Man, Israel, Italy, Jamaica, Japan, Jersey, Jordan, Kazakhstan, Kenya, Kiribati, North Korea, South Korea, Kuwait, Kyrgyzstan, Kosovo, Lao People's Democratic Republic, Latvia, Lebanon, Lesotho, Liberia, Libya, Liechtenstein, Lithuania, Luxembourg, Macao, North Macedonia, Madagascar, Malawi, Malaysia, Maldives, Mali, Malta, Marshall Islands, Martinique, Mauritania, Mauritius, Mayotte, Mexico, Micronesia, Federated States of, Republic of Moldova, Monaco, Mongolia, Montenegro, Montserrat, Morocco, Myanmar, Namibia, Nauru, Nepal, Netherlands, New Caledonia, New Zealand, Nicaragua, Niger, Nigeria, Niue, Norfolk Island, Northern Mariana Islands, Norway, Oman, Pakistan, Palau, Palestine, State of, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Pitcairn, Poland, Puerto Rico, Qatar, Réunion, Romania, Russian Federation, Rwanda, Saint Barthélemy, Saint Helena, Ascension and Tristan da Cunha, Saint Kitts and Nevis, Saint Lucia, Saint Martin (French part), Saint Pierre and Miquelon, Saint Vincent and the Grenadines, Samoa, San Marino, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Singapore, Sint Maarten (Dutch part), Slovakia, Slovenia, Solomon Islands, Somalia, Somaliland, South Africa, South Georgia and the South Sandwich Islands, South Sudan, Spain, Sri Lanka, Sudan, Suriname, Svalbard and Jan Mayen, Sweden, Switzerland, Syrian Arab Republic, Taiwan, Tajikistan, United Republic of Tanzania, Thailand, Togo, Tokelau, Tonga, Trinidad and Tobago, Tunisia, Turkey, Turkmenistan, Turks and Caicos Islands, Tuvalu, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States Minor Outlying Islands, United States of America, Uruguay, Uzbekistan, Vanuatu, Venezuela, Vietnam, Virgin Islands, British, Virgin Islands, U.S., Wallis and Futuna, Western Sahara, Yemen, Zambia, Zimbabwe",0,no policy,no policy,0,no policy,no policy
SN70,SVN,PARTIAL,BORDER_CLOSURE,2020-06-19,1,Specific,"Afghanistan, Aland Islands, Albania, Algeria, American Samoa, Andorra, Angola, Anguilla, Antarctica, Antigua and Barbuda, Argentina, Armenia, Aruba, Australia, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belgium, Belize, Benin, Bermuda, Bhutan, Bolivia, Bonaire, Sint Eustatius and Saba, Bosnia and Herzegovina, Botswana, Bouvet Island, Brazil, British Indian Ocean Territory, Brunei Darussalam, Bulgaria, Burkina Faso, Burundi, Cape Verde, Cambodia, Cameroon, Canada, Cayman Islands, Central African Republic, Chad, Chile, China, Christmas Island, Cocos (Keeling) Islands, Colombia, Comoros, Congo, Democratic Republic of the Congo, Cook Islands, Costa Rica, Côte d'Ivoire, Cuba, Curaçao, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Eswatini, Ethiopia, Falkland Islands (Malvinas), Faroe Islands, Fiji, French Guiana, French Polynesia, French Southern Territories, Gabon, Gambia, Georgia, Ghana, Gibraltar, Greenland, Grenada, Guadeloupe, Guam, Guatemala, Guernsey, Guinea, Guinea-Bissau, Guyana, Haiti, Heard Island and McDonald Islands, Holy See (Vatican City State), Honduras, Hong Kong, India, Indonesia, Iran, Iraq, Isle of Man, Israel, Jamaica, Japan, Jersey, Jordan, Kazakhstan, Kenya, Kiribati, North Korea, South Korea, Kuwait, Kyrgyzstan, Kosovo, Lao People's Democratic Republic, Lebanon, Lesotho, Liberia, Libya, Macao, North Macedonia, Madagascar, Malawi, Malaysia, Maldives, Mali, Marshall Islands, Martinique, Mauritania, Mauritius, Mayotte, Mexico, Micronesia, Federated States of, Republic of Moldova, Monaco, Mongolia, Montserrat, Morocco, Mozambique, Myanmar, Namibia, Nauru, Nepal, Netherlands, New Caledonia, New Zealand, Nicaragua, Niger, Nigeria, Niue, Norfolk Island, Northern Mariana Islands, Oman, Pakistan, Palau, Palestine, State of, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Pitcairn, Poland, Portugal, Puerto Rico, Qatar, Réunion, Romania, Russian Federation, Rwanda, Saint Barthélemy, Saint Helena, Ascension and Tristan da Cunha, Saint Kitts and Nevis, Saint Lucia, Saint Martin (French part), Saint Pierre and Miquelon, Saint Vincent and the Grenadines, Samoa, San Marino, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Singapore, Sint Maarten (Dutch part), Solomon Islands, Somalia, Somaliland, South Africa, South Georgia and the South Sandwich Islands, South Sudan, Spain, Sri Lanka, Sudan, Suriname, Svalbard and Jan Mayen, Sweden, Syrian Arab Republic, Taiwan, Tajikistan, United Republic of Tanzania, Thailand, Timor-Leste (East Timor), Togo, Tokelau, Tonga, Trinidad and Tobago, Tunisia, Turkey, Turkmenistan, Turks and Caicos Islands, Tuvalu, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States Minor Outlying Islands, United States of America, Uruguay, Uzbekistan, Vanuatu, Venezuela, Vietnam, Virgin Islands, British, Virgin Islands, U.S., Wallis and Futuna, Western Sahara, Yemen, Zambia, Zimbabwe",0,no policy,no policy,0,no policy,no policy
NT17,TCD,PARTIAL,BORDER_CLOSURE,2020-12-29,1,Specific,passengers from the United Kingdom and South Africa,0,no policy,no policy,0,no policy,no policy
NT1,TGO,PARTIAL,BORDER_CLOSURE,2020-03-29,1,All,no policy,0,no policy,no policy,0,no policy,no policy
302,TJK,PARTIAL,BORDER_CLOSURE,2020-03-20,1,Specific,Dushanbe Airport closed,0,no policy,no policy,0,no policy,no policy
16402,TKM,PARTIAL,BORDER_CLOSURE,2020-08-10,1,All,no policy,1,All,no policy,0,no policy,no policy
1510,TON,PARTIAL,BORDER_CLOSURE,2020-03-23,1,All,no policy,0,no policy,no policy,0,no policy,no policy
3132,TUR,PARTIAL,BORDER_CLOSURE,2020-03-27,1,All,no policy,0,no policy,no policy,0,no policy,no policy
MS22,TWN,PARTIAL,BORDER_CLOSURE,2020-03-24,1,All,no policy,0,no policy,no policy,0,no policy,no policy
5419,TZA,PARTIAL,BORDER_CLOSURE,2020-04-11,1,All,no policy,0,no policy,no policy,0,no policy,no policy
1743,UGA,PARTIAL,BORDER_CLOSURE,2020-03-22,1,All,no policy,0,no policy,no policy,0,no policy,no policy
BW12,UZB,PARTIAL,BORDER_CLOSURE,2020-03-23,0,no policy,no policy,1,All,no policy,0,no policy,no policy
139043,VEN,PARTIAL,BORDER_CLOSURE,2020-10-13,1,Specific,Extends air travel ban,0,no policy,no policy,0,no policy,no policy
119010,WSM,PARTIAL,BORDER_CLOSURE,2020-09-03,0,no policy,no policy,0,no policy,no policy,1,All,no policy
8858,YEM,PARTIAL,BORDER_CLOSURE,2020-04-08,0,no policy,no policy,1,Specific,"Yemeni authorities closed the Al-Wadia border crossing, the country's only remaining border crossing with Saudi Arabia",0,no policy,no policy
12272,ZAF,PARTIAL,BORDER_CLOSURE,2020-06-01,0,no policy,no policy,1,All,no policy,0,no policy,no policy
NL62,ZMB,PARTIAL,BORDER_CLOSURE,2020-08-01,1,Specific,Flights only to/from Kenneth Kaunda International Airport,0,no policy,no policy,0,no policy,no policy
