Policy_id,Country_id,Policy_type,Policy_subtype,Policy_start_date,Air_ban,Air_ban_type,Air_ban_info,Land_ban,Land_ban_type,Land_ban_info,Sea_ban,Sea_ban_type,Sea_ban_info
NL1,DZA,PARTIAL,BORDER_CLOSURE,2020-03-19,1,Specific,"Albania, Andorra, Armenia, Austria, Belarus, Belguim, Bosnia, Bulgaria, Croatia, Cyprus, Czechia, Azerbaijan, Denmark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Italy, Kazakhstan, Kosovo, Latvia, Liechtenstein, Lituania, Luxembourg, Malta, Moldova, Monaco, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Russia, San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom,Morocco, China",0,no policy,no policy,0,no policy,no policy
12849,ECU,PARTIAL,BORDER_CLOSURE,2020-06-01,0,no policy,no policy,1,All,no policy,1,All,no policy
12431,EGY,PARTIAL,BORDER_CLOSURE,2020-04-27,1,All,no policy,0,no policy,no policy,0,no policy,no policy
6070,ETH,PARTIAL,BORDER_CLOSURE,2020-04-14,0,no policy,no policy,1,All,no policy,0,no policy,no policy
NT7,GAB,PARTIAL,BORDER_CLOSURE,2020-09-19,0,no policy,no policy,1,All,no policy,1,All,no policy
699,GHA,PARTIAL,BORDER_CLOSURE,2020-03-17,1,All,no policy,0,no policy,no policy,0,no policy,no policy
NT20,GIN,PARTIAL,BORDER_CLOSURE,2020-05-06,1,All,no policy,0,no policy,no policy,0,no policy,no policy
139252,GMB,PARTIAL,BORDER_CLOSURE,2020-09-17,1,Specific,"United Kingdom, Spain, France, Poland, Germany, Sweden, Denmark, Switzerland, Netherlands, Norway, Austria, Belgium, Portugal",0,no policy,no policy,0,no policy,no policy
3661,GNQ,PARTIAL,BORDER_CLOSURE,2020-04-15,1,All,no policy,0,no policy,no policy,0,no policy,no policy
EB86,GRD,PARTIAL,BORDER_CLOSURE,2020-12-20,1,Specific,United Kingdom,0,no policy,no policy,0,no policy,no policy
BW4,GUY,PARTIAL,BORDER_CLOSURE,2020-03-27,0,no policy,no policy,1,All,no policy,0,no policy,no policy
CJ17,HKG,PARTIAL,BORDER_CLOSURE,2020-04-06,1,All,no policy,0,no policy,no policy,0,no policy,no policy
MS13,HND,PARTIAL,BORDER_CLOSURE,2020-03-21,1,All,no policy,0,no policy,no policy,0,no policy,no policy
