Country,Country_id,Policy_type,Policy_subtype,Policy_start_date
Fiji,FJI,COMPLETE,ESSENTIAL_ONLY,2020-03-30
Falkland Islands (Malvinas),FLK,COMPLETE,WORK_EXCEP,2020-04-08
France,FRA,COMPLETE,WORK_EXCEP,2020-12-23
Faroe Islands,FRO,COMPLETE,WORK_EXCEP,2020-06-27
"Micronesia, Federated States of",FSM,COMPLETE,ESSENTIAL_ONLY,2020-04-15
Gabon,GAB,PARTIAL,BORDER_CLOSURE,2020-09-19
United Kingdom,GBR,PARTIAL,HISTORY_BAN,2020-11-13
Georgia,GEO,COMPLETE,ESSENTIAL_ONLY,2020-03-21
Guernsey,GGY,NOPOLICYIMPLEMENTED,NONE,2001-01-01
Ghana,GHA,PARTIAL,BORDER_CLOSURE,2020-03-17
Guinea,GIN,PARTIAL,BORDER_CLOSURE,2020-05-06
Guadeloupe,GLP,COMPLETE,SPECIFIC_COUNTRY,2020-06-08
Gambia,GMB,PARTIAL,BORDER_CLOSURE,2020-09-17
Guinea-Bissau,GNB,COMPLETE,ESSENTIAL_ONLY,2020-03-17
Equatorial Guinea,GNQ,PARTIAL,BORDER_CLOSURE,2020-04-15
Greece,GRC,PARTIAL,CITIZENSHIP_BAN,2020-10-25
Grenada,GRD,PARTIAL,BORDER_CLOSURE,2020-12-20
Greenland,GRL,COMPLETE,WORK_EXCEP,2020-10-31
Guatemala,GTM,COMPLETE,CITIZEN_EXCEP,2020-04-26
French Guiana,GUF,COMPLETE,CITIZEN_EXCEP,2020-03-23
Guam,GUM,NOPOLICYIMPLEMENTED,NONE,2001-01-01
Guyana,GUY,PARTIAL,BORDER_CLOSURE,2020-03-27
Hong Kong,HKG,PARTIAL,BORDER_CLOSURE,2020-04-06
Honduras,HND,PARTIAL,BORDER_CLOSURE,2020-03-21
Croatia,HRV,PARTIAL,BORDER_CLOSURE,2020-09-15
Haiti,HTI,COMPLETE,CITIZEN_EXCEP,2020-04-14
Hungary,HUN,COMPLETE,SPECIFIC_COUNTRY,2020-09-01
Indonesia,IDN,COMPLETE,WORK_EXCEP,2020-04-01
Isle of Man,IMN,COMPLETE,CITIZEN_EXCEP,2020-03-23
India,IND,PARTIAL,BORDER_CLOSURE,2020-03-22
British Indian Ocean Territory,IOT,PARTIAL,BORDER_CLOSURE,2020-04-24
Ireland,IRL,PARTIAL,VISA_BAN,2020-09-25
"Iran, Islamic Republic of",IRN,PARTIAL,BORDER_CLOSURE,2020-03-16
Iraq,IRQ,PARTIAL,BORDER_CLOSURE,2020-10-27
Iceland,ISL,COMPLETE,WORK_EXCEP,2020-11-04
Israel,ISR,PARTIAL,BORDER_CLOSURE,2020-09-25
Italy,ITA,COMPLETE,SPECIFIC_COUNTRY,2020-10-24
Jamaica,JAM,PARTIAL,BORDER_CLOSURE,2020-12-21
Jersey,JEY,NOPOLICYIMPLEMENTED,NONE,2001-01-01
Jordan,JOR,PARTIAL,BORDER_CLOSURE,2020-08-11
Japan,JPN,COMPLETE,CITIZEN_EXCEP,2021-01-13
Kazakhstan,KAZ,COMPLETE,CITIZEN_EXCEP,2020-03-16
Kenya,KEN,PARTIAL,BORDER_CLOSURE,2020-08-01
Kyrgyzstan,KGZ,COMPLETE,CITIZEN_EXCEP,2020-03-17
Cambodia,KHM,PARTIAL,BORDER_CLOSURE,2020-08-24
Kiribati,KIR,COMPLETE,CITIZEN_EXCEP,2020-03-23
Saint Kitts and Nevis,KNA,PARTIAL,BORDER_CLOSURE,2020-08-29
"Korea, Republic of",KOR,PARTIAL,BORDER_CLOSURE,2020-04-17
Kuwait,KWT,PARTIAL,BORDER_CLOSURE,2020-12-01
Lao People's Democratic Republic,LAO,PARTIAL,VISA_BAN,2020-06-02
Lebanon,LBN,PARTIAL,BORDER_CLOSURE,2020-11-14
Liberia,LBR,PARTIAL,BORDER_CLOSURE,2020-04-29
Libya,LBY,PARTIAL,BORDER_CLOSURE,2020-07-19
Saint Lucia,LCA,COMPLETE,SPECIFIC_COUNTRY,2020-07-03
Sri Lanka,LKA,PARTIAL,BORDER_CLOSURE,2020-12-23
Lesotho,LSO,COMPLETE,WORK_EXCEP,2020-04-21
Lithuania,LTU,COMPLETE,SPECIFIC_COUNTRY,2020-07-13
Luxembourg,LUX,PARTIAL,BORDER_CLOSURE,2020-08-14
Latvia,LVA,PARTIAL,BORDER_CLOSURE,2020-12-04
Macao,MAC,COMPLETE,WORK_EXCEP,2020-03-18
Saint Martin (French part),MAF,PARTIAL,CITIZENSHIP_BAN,2020-08-01
Morocco,MAR,COMPLETE,CITIZEN_EXCEP,2020-07-15
"Moldova, Republic of",MDA,PARTIAL,HISTORY_BAN,2020-12-07
Madagascar,MDG,PARTIAL,BORDER_CLOSURE,2020-07-06
Maldives,MDV,PARTIAL,VISA_BAN,2020-03-27
Mexico,MEX,PARTIAL,BORDER_CLOSURE,2020-03-21
Marshall Islands,MHL,COMPLETE,ESSENTIAL_ONLY,2020-03-08
North Macedonia,MKD,COMPLETE,CITIZEN_EXCEP,2020-03-18
Mali,MLI,PARTIAL,BORDER_CLOSURE,2020-03-25
Malta,MLT,COMPLETE,SPECIFIC_COUNTRY,2020-07-14
Myanmar,MMR,PARTIAL,BORDER_CLOSURE,2020-07-30
Montenegro,MNE,COMPLETE,SPECIFIC_COUNTRY,2020-07-22
Mongolia,MNG,COMPLETE,CITIZEN_EXCEP,2020-03-19
Northern Mariana Islands,MNP,PARTIAL,BORDER_CLOSURE,2020-04-06
Mozambique,MOZ,PARTIAL,BORDER_CLOSURE,2020-10-01
Mauritania,MRT,COMPLETE,ESSENTIAL_ONLY,2020-03-22
Montserrat,MSR,COMPLETE,CITIZEN_EXCEP,2020-04-13
Martinique,MTQ,COMPLETE,CITIZEN_EXCEP,2020-03-23
