Country,Country_id,Policy_type,Policy_subtype,Policy_start_date,Air_ban,Air_ban_info,Land_ban,Land_ban_info,Sea_ban,Sea_ban_info,Citizen_ban,Citizen_ban_info,Travel_history_ban,Travel_history_ban_info,Refugee_ban,Refugee_ban_info,Visa_ban,Visa_ban_info,Citizen_exceptions,Citizen_exceptions_info,Country_exceptions,Country_exceptions_info,Work_exceptions
Burkina Faso,BFA,PARTIAL,BORDER_CLOSURE,2020-08-01,0,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Bangladesh,BGD,PARTIAL,BORDER_CLOSURE,2020-12-18,1,"all EXCEPT Bahrain, China, Kuwait, Malaysia, Maldives, Oman, Qatar, Saudi Arabia, Singapore, Sri Lanka, Turkey, United Arab Emirates, United Kingdom ",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Bulgaria,BGR,COMPLETE,SPECIFIC_COUNTRY,2020-07-16,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, residents",1,"The Republic of Austria, The Kingdom of Netherlands, The Federal Republic of Germany, The Republic of Poland, The Hellenic Republic, The Kingdom of Denmark, Romania, The Republic of Estonia, The Slovak Republic, The Republic of Slovenia, The Republic of Finland, The Republic of Cyprus, The French Republic, The Republic of Latvia, The Republic of Croatia, The Republic of Lithuania, The Czech Republic, The Grand Duchy of Luxembourg, Iceland, The Kingdom of Norway, The Principality of Liechtenstein, The Swiss Confederation, The Republic of San Marino,The Principality of Andorra, The Principality of Monaco, The Vatican City State, The Republic of Malta, The Italian Republic, The Kingdom of Spain, The Republic of Ireland, The Kingdom of Belgium, The United Kingdom of Great Britain and Northern Ireland, The People’s Democratic Republic of Algeria, The Commonwealth of Australia, Canada, Georgia, Japan, The Kingdom of Morocco, New Zealand, The Republic of Rwanda, The Republic of Korea, The Kingdom of Thailand, The Republic of Tunisia, The Oriental Republic of Uruguay, Ukraine",0
Bahrain,BHR,COMPLETE,CITIZEN_EXCEP,2020-06-04,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, permanent residents",0,no policy,0
Bahamas,BHS,COMPLETE,ESSENTIAL_ONLY,2020-03-24,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Bosnia and Herzegovina,BIH,PARTIAL,CITIZENSHIP_BAN,2020-07-14,0,no policy,0,no policy,0,no policy,1,all non-European Union countries,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Saint Barthélemy,BLM,COMPLETE,SPECIFIC_COUNTRY,2020-03-17,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, family",1,"Saint-Martin, Guadeloupe, Martinique, France",0
Belarus,BLR,PARTIAL,BORDER_CLOSURE,2020-11-01,0,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Belize,BLZ,PARTIAL,BORDER_CLOSURE,2020-10-01,0,no policy,1,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Bermuda,BMU,COMPLETE,WORK_EXCEP,2020-03-23,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1," citizens, residents and dependent of residents ",0,no policy,1
