Policy_id,Country_id,Policy_type,Policy_subtype,Policy_start_date,Citizen_exceptions,Citizen_exceptions_info,Country_exceptions,Country_exceptions_info,Work_exceptions
MS76,BLM,COMPLETE,SPECIFIC_COUNTRY,2020-03-17,1,"citizens, family",1,"Saint-Martin, Guadeloupe, Martinique, France",0
CK6,BMU,COMPLETE,WORK_EXCEP,2020-03-23,1," citizens, residents and dependent of residents ",0,no policy,1
NL5,BOL,COMPLETE,CITIZEN_EXCEP,2020-05-31,1,"citizens, residents, diplomats",0,no policy,0
12934,BRA,COMPLETE,CITIZEN_EXCEP,2020-05-22,1,"Residents, Brazilian Nationals, Humanitarian Aid Workers",0,no policy,0
EB47,BRB,COMPLETE,ESSENTIAL_ONLY,2020-04-17,0,no policy,0,no policy,0
EB90,BRN,COMPLETE,WORK_EXCEP,2020-09-21,1,"citizens, permanent residents",0,no policy,1
7136,BTN,COMPLETE,ESSENTIAL_ONLY,2020-09-08,0,no policy,0,no policy,0
LM21,BWA,COMPLETE,CITIZEN_EXCEP,2020-04-30,1,"citizens, residents",0,no policy,0
ch31,CAN,COMPLETE,WORK_EXCEP,2020-09-17,1,"citizens, permanent residents, family members of citizens and permanent residents",0,no policy,1
NL73,CCK,COMPLETE,SPECIFIC_COUNTRY,2020-09-02,1,"residents, essential staff",1,Western Australia,0
11474,COG,COMPLETE,ESSENTIAL_ONLY,2020-03-31,0,no policy,0,no policy,0
EB60,COK,COMPLETE,WORK_EXCEP,2020-08-30,1,"citizens, permanent residents",0,no policy,1
15426,COL,COMPLETE,ESSENTIAL_ONLY,2020-07-08,0,no policy,0,no policy,0
2684,COM,COMPLETE,CITIZEN_EXCEP,2020-03-23,1,Yes,0,no policy,0
139038,CRI,COMPLETE,SPECIFIC_COUNTRY,2020-11-01,1,residents,1,Authorities will ease restrictions on international tourism from November 1 by allowing tourists to enter the country regardless of their country of departure as authorities gradually ease restrictions imposed due to the coronavirus disease (COVID-19) pandemic.,0
MG29,CUW,COMPLETE,SPECIFIC_COUNTRY,2020-10-27,1,residents,1,"Anguillla, Antigua and Barbuda, Aruba, Austria, Azerbaijan, Barbados, Bermuda, Bonaire, St. Eustatius and Saba, Canada, Cayman Isl., China (People's Rep.), Taiwan, Cuba, Denmark, Dominica, Finland, French Guiana, Germany, Greece, Grenada, Guyana, Hong Kong, Hungary, India, Italy, Jamaica, Monteserrat, Morocco, Netherlands, New Zealand, Norway, Poland, St. Barthelemy, St. Kitts and Nevis, St. Lucia, St. Maarten, St. Vincent and the Grenadines, Suriname, Sweden, Trinidad and Tobago, Turkey, Turks and Caicos Isl., Uruguay, Virgin Isl. (British), United States",0
EB95,CYP,COMPLETE,SPECIFIC_COUNTRY,2020-12-21,1,"citizens, permanent residents, family of citizens and permanent residents",1,"Australia, China, Denmark, Estonia, Finland, Germany, Greece, Hong Kong, Japan, South Korea, Latvia, Lithuania, New Zealand, Norway, Rwanda, San Marino, Serbia, Singapore, Sweden, Thailand, United Kingdom, Uruguay, Vatican City",0
CH10,DMA,COMPLETE,CITIZEN_EXCEP,2020-04-16,1,"citizens, permanent residents",0,no policy,0
3333,ERI,COMPLETE,ESSENTIAL_ONLY,2020-03-25,0,no policy,0,no policy,0
MS71,ESH,COMPLETE,ESSENTIAL_ONLY,2020-03-19,0,no policy,0,no policy,0
LM25,ESP,COMPLETE,WORK_EXCEP,2020-07-04,1,"Citizens, ",1,"Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Sweden, Switzerland, Andorra, Monaco, Holy See, San Marino, Algeria, Australia, Canada, Georgia, Japan, Montenegro, Morocco, New Zealand, Rwanda, Serbia, South Korea, Thailand, Tunisia, Uruguay, China ",1
RM3,EST,COMPLETE,SPECIFIC_COUNTRY,2020-09-13,1,"citizens, permanent residents",1,"Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Finland, France, Germany, Greece, Hungary, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Australia, Canada, Georgia, Japan, New Zealand, Rwanda, South Korea, Thailand, Tunisia, Uruguay, United Kingdom, Ireland, Andorra, Monaco, San Marino, Vatican City, ",0
MG45,EUR,COMPLETE,WORK_EXCEP,2020-10-27,1,residents,1,"Australia, Japan, New Zealand, Rwanda, Singapore, South Korea, Thailand, Uruguay, subject to confirmation of reciprocity China, Hong Kong, Macao",1
