location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Slovenia,SVN,1/4/2021,7204,7204,,1270,1270,0.35,0.35,,611
Slovenia,SVN,1/5/2021,8901,8901,,1697,1484,0.43,0.43,,714
Slovenia,SVN,1/6/2021,12265,12265,,3364,2110,0.59,0.59,,1015
Slovenia,SVN,1/7/2021,16339,16339,,4074,2601,0.79,0.79,,1251
Slovenia,SVN,1/8/2021,19523,19523,,3184,2718,0.94,0.94,,1307
Slovenia,SVN,1/9/2021,19930,19930,,407,2333,0.96,0.96,,1122
Slovenia,SVN,1/10/2021,20546,20546,,616,2087,0.99,0.99,,1004
Slovenia,SVN,1/11/2021,22484,22484,,1938,2183,1.08,1.08,,1050
Slovenia,SVN,1/12/2021,24462,24462,,1978,2223,1.18,1.18,,1069
Slovenia,SVN,1/13/2021,29561,29561,,5099,2471,1.42,1.42,,1189
Slovenia,SVN,1/14/2021,35159,35159,,5598,2689,1.69,1.69,,1293
Slovenia,SVN,1/15/2021,40778,40778,,5619,3036,1.96,1.96,,1460
Slovenia,SVN,1/16/2021,41439,41439,,661,3073,1.99,1.99,,1478
Slovenia,SVN,1/17/2021,42035,42035,,596,3070,2.02,2.02,,1477
Slovenia,SVN,1/18/2021,43081,43081,,1046,2942,2.07,2.07,,1415
Slovenia,SVN,1/19/2021,43869,43869,,788,2772,2.11,2.11,,1333
Slovenia,SVN,1/20/2021,46467,46467,,2598,2415,2.24,2.24,,1162
Slovenia,SVN,1/21/2021,52098,46467,5631,5631,2420,2.51,2.24,0.27,1164
Slovenia,SVN,1/22/2021,54839,48170,6669,2741,2009,2.64,2.32,0.32,966
Slovenia,SVN,1/23/2021,55680,48717,6963,841,2034,2.68,2.34,0.33,978
Slovenia,SVN,1/24/2021,55978,48857,7121,298,1992,2.69,2.35,0.34,958
Slovenia,SVN,1/25/2021,57591,49744,7847,1613,2073,2.77,2.39,0.38,997
Spain,ESP,1/4/2021,82834,82834,,,,0.18,0.18,,
Spain,ESP,1/5/2021,139339,139339,,56505,56505,0.3,0.3,,1209
Spain,ESP,1/6/2021,,,,,45248,,,,968
Spain,ESP,1/7/2021,207323,207323,,,41496,0.44,0.44,,888
Spain,ESP,1/8/2021,277976,277976,,70653,48786,0.59,0.59,,1043
Spain,ESP,1/9/2021,,,,,47569,,,,1017
Spain,ESP,1/10/2021,,,,,46759,,,,1000
Spain,ESP,1/11/2021,406091,406091,,,46180,0.87,0.87,,988
Spain,ESP,1/12/2021,488122,488122,,82031,49826,1.04,1.04,,1066
Spain,ESP,1/13/2021,581638,581638,,93516,58330,1.24,1.24,,1248
Spain,ESP,1/14/2021,676186,676186,,94548,66980,1.45,1.45,,1433
Spain,ESP,1/15/2021,768950,768950,,92764,70139,1.64,1.64,,1500
Spain,ESP,1/16/2021,,,,,70181,,,,1501
Spain,ESP,1/17/2021,,,,,70223,,,,1502
Spain,ESP,1/18/2021,897942,895627,2315,,70264,1.92,1.92,0,1503
Spain,ESP,1/19/2021,966097,956756,9341,68155,68282,2.07,2.05,0.02,1460
Spain,ESP,1/20/2021,1025937,1010295,15642,59840,63471,2.19,2.16,0.03,1358
Spain,ESP,1/21/2021,1103301,1054245,49056,77364,61016,2.36,2.25,0.1,1305
Spain,ESP,1/22/2021,1165825,1097369,68456,62524,56696,2.49,2.35,0.15,1213
Spain,ESP,1/23/2021,,,,,53971,,,,1154
Spain,ESP,1/24/2021,,,,,51247,,,,1096
Spain,ESP,1/25/2021,1237593,1148895,88698,,48522,2.65,2.46,0.19,1038
Spain,ESP,1/26/2021,1291216,1167519,123697,53623,46446,2.76,2.5,0.26,993
Sweden,SWE,12/27/2020,4115,4115,,,,0.04,0.04,,
Sweden,SWE,12/28/2020,,,,,3859,,,,382
Sweden,SWE,12/29/2020,,,,,3859,,,,382
Sweden,SWE,12/30/2020,,,,,3859,,,,382
Sweden,SWE,12/31/2020,,,,,3859,,,,382
Sweden,SWE,1/1/2021,,,,,3859,,,,382
Sweden,SWE,1/2/2021,,,,,3859,,,,382
Sweden,SWE,1/3/2021,31129,31129,,,3859,0.31,0.31,,382
Sweden,SWE,1/4/2021,,,,,4294,,,,425
Sweden,SWE,1/5/2021,,,,,4729,,,,468
Sweden,SWE,1/6/2021,,,,,5165,,,,511
Sweden,SWE,1/7/2021,,,,,5600,,,,554
Sweden,SWE,1/8/2021,,,,,6035,,,,598
Sweden,SWE,1/9/2021,,,,,6470,,,,641
Sweden,SWE,1/10/2021,79466,79466,,,6905,0.79,0.79,,684
Sweden,SWE,1/11/2021,,,,,7292,,,,722
Sweden,SWE,1/12/2021,,,,,7680,,,,760
Sweden,SWE,1/13/2021,,,,,8067,,,,799
Sweden,SWE,1/14/2021,,,,,8454,,,,837
Sweden,SWE,1/15/2021,,,,,8841,,,,875
Sweden,SWE,1/16/2021,,,,,9228,,,,914
Sweden,SWE,1/17/2021,146775,146775,,,9616,1.45,1.45,,952
Sweden,SWE,1/18/2021,,,,,9062,,,,897
Sweden,SWE,1/19/2021,,,,,8508,,,,842
Sweden,SWE,1/20/2021,,,,,7955,,,,788
Sweden,SWE,1/21/2021,,,,,7401,,,,733
Sweden,SWE,1/22/2021,,,,,6848,,,,678
Sweden,SWE,1/23/2021,,,,,6294,,,,623
Sweden,SWE,1/24/2021,,,,,5741,,,,568
Sweden,SWE,1/25/2021,192700,192700,,,5741,1.91,1.91,,568
Switzerland,CHE,12/23/2020,0,0,,,,0,0,,
Switzerland,CHE,12/24/2020,,,,,3000,,,,347
Switzerland,CHE,12/25/2020,,,,,3000,,,,347
Switzerland,CHE,12/26/2020,,,,,3000,,,,347
Switzerland,CHE,12/27/2020,,,,,3000,,,,347
Switzerland,CHE,12/28/2020,,,,,3000,,,,347
Switzerland,CHE,12/29/2020,,,,,3000,,,,347
Switzerland,CHE,12/30/2020,,,,,3000,,,,347
Switzerland,CHE,12/31/2020,,,,,3000,,,,347
Switzerland,CHE,1/1/2021,,,,,3000,,,,347
Switzerland,CHE,1/2/2021,,,,,3000,,,,347
Switzerland,CHE,1/3/2021,,,,,3000,,,,347
Switzerland,CHE,1/4/2021,,,,,3000,,,,347
Switzerland,CHE,1/5/2021,,,,,3000,,,,347
Switzerland,CHE,1/6/2021,,,,,3000,,,,347
Switzerland,CHE,1/7/2021,,,,,3000,,,,347
Switzerland,CHE,1/8/2021,,,,,3000,,,,347
Switzerland,CHE,1/9/2021,,,,,3000,,,,347
Switzerland,CHE,1/10/2021,,,,,3000,,,,347
Switzerland,CHE,1/11/2021,,,,,3000,,,,347
Switzerland,CHE,1/12/2021,,,,,3000,,,,347
Switzerland,CHE,1/13/2021,,,,,3000,,,,347
Switzerland,CHE,1/14/2021,66000,66000,,,3000,0.76,0.76,,347
Switzerland,CHE,1/15/2021,,,,,3829,,,,442
Switzerland,CHE,1/16/2021,,,,,4657,,,,538
Switzerland,CHE,1/17/2021,,,,,5486,,,,634
Switzerland,CHE,1/18/2021,,,,,6314,,,,730
Switzerland,CHE,1/19/2021,110000,110000,,,7143,1.27,1.27,,825
Switzerland,CHE,1/20/2021,,,,,10984,,,,1269
Switzerland,CHE,1/21/2021,169783,169783,,,14826,1.96,1.96,,1713
Switzerland,CHE,1/22/2021,,,,,14883,,,,1720
Switzerland,CHE,1/23/2021,,,,,14939,,,,1726
Switzerland,CHE,1/24/2021,197368,197368,,,14995,2.28,2.28,,1733
Turkey,TUR,1/13/2021,0,0,,,,0,0,,
Turkey,TUR,1/14/2021,279452,279452,,279452,279452,0.33,0.33,,3313
Turkey,TUR,1/15/2021,616652,616652,,337200,308326,0.73,0.73,,3656
Turkey,TUR,1/16/2021,676903,676903,,60251,225634,0.8,0.8,,2675
Turkey,TUR,1/17/2021,706451,706451,,29548,176613,0.84,0.84,,2094
Turkey,TUR,1/18/2021,832412,832412,,125961,166482,0.99,0.99,,1974
Turkey,TUR,1/19/2021,950635,950635,,118223,158439,1.13,1.13,,1879
Turkey,TUR,1/20/2021,1052493,1052493,,101858,150356,1.25,1.25,,1783
Turkey,TUR,1/21/2021,1120258,1120258,,67765,120115,1.33,1.33,,1424
Turkey,TUR,1/22/2021,1202212,1202212,,81954,83651,1.43,1.43,,992
Turkey,TUR,1/23/2021,1226883,1226883,,24671,78569,1.45,1.45,,932
Turkey,TUR,1/24/2021,1244653,1244653,,17770,76886,1.48,1.48,,912
Turkey,TUR,1/25/2021,1302753,1302753,,58100,67192,1.54,1.54,,797
Turkey,TUR,1/26/2021,1410273,1410273,,107520,65663,1.67,1.67,,779
United Arab Emirates,ARE,1/5/2021,826301,,,,,8.35,,,
United Arab Emirates,ARE,1/6/2021,,,,,30698,,,,3104
United Arab Emirates,ARE,1/7/2021,887697,,,,30698,8.98,,,3104
United Arab Emirates,ARE,1/8/2021,941556,,,53859,38418,9.52,,,3884
United Arab Emirates,ARE,1/9/2021,1020349,,,78793,48512,10.32,,,4905
United Arab Emirates,ARE,1/10/2021,1086568,836568,250000,66219,52053,10.99,8.46,2.53,5263
United Arab Emirates,ARE,1/11/2021,1167251,917251,250000,80683,56825,11.8,9.27,2.53,5745
United Arab Emirates,ARE,1/12/2021,1275652,1025652,250000,108401,64193,12.9,10.37,2.53,6490
United Arab Emirates,ARE,1/13/2021,1394580,1144580,250000,118928,76797,14.1,11.57,2.53,7765
United Arab Emirates,ARE,1/14/2021,1527833,1277833,250000,133253,91448,15.45,12.92,2.53,9246
United Arab Emirates,ARE,1/15/2021,1665987,1415987,250000,138154,103490,16.84,14.32,2.53,10464
United Arab Emirates,ARE,1/16/2021,1797926,1547926,250000,131939,111082,18.18,15.65,2.53,11231
United Arab Emirates,ARE,1/17/2021,1882778,1632778,250000,84852,113744,19.04,16.51,2.53,11500
United Arab Emirates,ARE,1/18/2021,1971521,1721521,250000,88743,114896,19.93,17.41,2.53,11617
United Arab Emirates,ARE,1/19/2021,2065367,1815367,250000,93846,112816,20.88,18.35,2.53,11407
United Arab Emirates,ARE,1/20/2021,2161150,1911150,250000,95783,109510,21.85,19.32,2.53,11072
United Arab Emirates,ARE,1/21/2021,2246069,1996069,250000,84919,102605,22.71,20.18,2.53,10374
United Arab Emirates,ARE,1/22/2021,2339078,2089078,250000,93009,96156,23.65,21.12,2.53,9722
United Arab Emirates,ARE,1/23/2021,2426798,2176798,250000,87720,89839,24.54,22.01,2.53,9083
United Arab Emirates,ARE,1/24/2021,2487789,2237789,250000,60991,86430,25.15,22.63,2.53,8739
United Arab Emirates,ARE,1/25/2021,2571091,2321091,250000,83302,85653,26,23.47,2.53,8660
United Arab Emirates,ARE,1/26/2021,2677680,2427680,250000,106589,87473,27.07,24.55,2.53,8844
United Kingdom,GBR,12/20/2020,667287,667287,,,,0.98,0.98,,
United Kingdom,GBR,12/21/2020,,,,,46423,,,,684
United Kingdom,GBR,12/22/2020,,,,,46423,,,,684
United Kingdom,GBR,12/23/2020,,,,,46423,,,,684
United Kingdom,GBR,12/24/2020,,,,,46423,,,,684
United Kingdom,GBR,12/25/2020,,,,,46423,,,,684
United Kingdom,GBR,12/26/2020,,,,,46423,,,,684
United Kingdom,GBR,12/27/2020,992246,992246,,,46423,1.46,1.46,,684
United Kingdom,GBR,12/28/2020,,,,,47738,,,,703
United Kingdom,GBR,12/29/2020,,,,,49053,,,,723
United Kingdom,GBR,12/30/2020,,,,,50369,,,,742
United Kingdom,GBR,12/31/2020,,,,,51684,,,,761
United Kingdom,GBR,1/1/2021,,,,,52999,,,,781
United Kingdom,GBR,1/2/2021,,,,,54315,,,,800
United Kingdom,GBR,1/3/2021,1381656,1360036,21620,,55630,2.04,2,0.03,819
United Kingdom,GBR,1/4/2021,,,,,74138,,,,1092
United Kingdom,GBR,1/5/2021,,,,,92647,,,,1365
United Kingdom,GBR,1/6/2021,,,,,111155,,,,1637
United Kingdom,GBR,1/7/2021,,,,,129663,,,,1910
United Kingdom,GBR,1/8/2021,,,,,148171,,,,2183
United Kingdom,GBR,1/9/2021,,,,,166680,,,,2455
United Kingdom,GBR,1/10/2021,2677971,2286572,391399,,185188,3.94,3.37,0.58,2728
United Kingdom,GBR,1/11/2021,2843815,2431648,412167,165844,182424,4.19,3.58,0.61,2687
United Kingdom,GBR,1/12/2021,3067541,2639309,428232,223726,187930,4.52,3.89,0.63,2768
United Kingdom,GBR,1/13/2021,3356229,2918252,437977,288688,202716,4.94,4.3,0.65,2986
United Kingdom,GBR,1/14/2021,3678180,3234946,443234,321951,222253,5.42,4.77,0.65,3274
United Kingdom,GBR,1/15/2021,4006440,3559179,447261,328260,242692,5.9,5.24,0.66,3575
United Kingdom,GBR,1/16/2021,4286830,3837094,449736,280390,256292,6.31,5.65,0.66,3775
United Kingdom,GBR,1/17/2021,4514802,4062501,452301,227972,262404,6.65,5.98,0.67,3865
United Kingdom,GBR,1/18/2021,4723443,4266577,456866,208641,268518,6.96,6.28,0.67,3955
United Kingdom,GBR,1/19/2021,5070365,4609740,460625,346922,286118,7.47,6.79,0.68,4215
United Kingdom,GBR,1/20/2021,5437284,4973248,464036,366919,297294,8.01,7.33,0.68,4379
United Kingdom,GBR,1/21/2021,5849899,5383103,466796,412615,310246,8.62,7.93,0.69,4570
United Kingdom,GBR,1/22/2021,6329968,5861351,468617,480069,331933,9.32,8.63,0.69,4890
United Kingdom,GBR,1/23/2021,6822981,6353321,469660,493013,362307,10.05,9.36,0.69,5337
United Kingdom,GBR,1/24/2021,7044048,6573570,470478,221067,361321,10.38,9.68,0.69,5322
United Kingdom,GBR,1/25/2021,7325773,6853327,472446,281725,371761,10.79,10.1,0.7,5476
United States,USA,12/20/2020,556208,556208,,,,0.17,0.17,,
United States,USA,12/21/2020,614117,614117,,57909,57909,0.19,0.19,,175
United States,USA,12/22/2020,,,,,127432,,,,385
United States,USA,12/23/2020,1008025,1008025,,,150606,0.3,0.3,,455
United States,USA,12/24/2020,,,,,191001,,,,577
United States,USA,12/25/2020,,,,,215238,,,,650
United States,USA,12/26/2020,1944585,1944585,,,231396,0.59,0.59,,699
United States,USA,12/27/2020,,,,,211379,,,,639
United States,USA,12/28/2020,2127143,2127143,,,216147,0.64,0.64,,653
United States,USA,12/29/2020,,,,,235685,,,,712
United States,USA,12/30/2020,2794588,2794588,,,255223,0.84,0.84,,771
United States,USA,12/31/2020,,,,,278776,,,,842
United States,USA,1/1/2021,,,,,302329,,,,913
United States,USA,1/2/2021,4225756,4225756,,,325882,1.28,1.28,,985
United States,USA,1/3/2021,,,,,336949,,,,1018
United States,USA,1/4/2021,4563260,4563260,,,348017,1.38,1.38,,1051
United States,USA,1/5/2021,4836469,4836469,,273209,339372,1.46,1.46,,1025
United States,USA,1/6/2021,5306797,5306797,,470328,358887,1.6,1.6,,1084
United States,USA,1/7/2021,5919418,5919418,,612621,378253,1.79,1.79,,1143
United States,USA,1/8/2021,6688231,6688231,,768813,419933,2.02,2.02,,1269
United States,USA,1/9/2021,,,,,461263,,,,1394
United States,USA,1/10/2021,,,,,546636,,,,1651
United States,USA,1/11/2021,8987322,8987322,,,632009,2.72,2.72,,1909
United States,USA,1/12/2021,9327138,9327138,,339816,641524,2.82,2.82,,1938
United States,USA,1/13/2021,10278462,,,951324,710238,3.11,,,2146
United States,USA,1/14/2021,11148991,9690757,1342086,870529,747082,3.37,2.93,0.41,2257
United States,USA,1/15/2021,12279180,10595866,1610524,1130189,798707,3.71,3.2,0.49,2413
United States,USA,1/16/2021,,,,,811670,,,,2452
United States,USA,1/17/2021,,,,,824632,,,,2491
United States,USA,1/18/2021,,,,,837595,,,,2530
United States,USA,1/19/2021,15707588,13595803,2023124,,911493,4.75,4.11,0.61,2754
United States,USA,1/20/2021,16525281,14270441,2161419,817693,892403,4.99,4.31,0.65,2696
United States,USA,1/21/2021,17546374,15053257,2394961,1021093,913912,5.3,4.55,0.72,2761
United States,USA,1/22/2021,19107959,16243093,2756953,1561585,975540,5.77,4.91,0.83,2947
United States,USA,1/23/2021,20537990,17390345,3027865,1430031,1057387,6.2,5.25,0.91,3194
United States,USA,1/24/2021,21848655,18502131,3216836,1310665,1122182,6.6,5.59,0.97,3390
United States,USA,1/25/2021,22734243,19252279,3346390,885588,1126251,6.87,5.82,1.01,3403
United States,USA,1/26/2021,23540994,19902237,3481921,806751,1119058,7.11,6.01,1.05,3381
Wales,,12/13/2020,8181,8181,,,,0.26,0.26,,
Wales,,12/14/2020,,,,,2198,,,,697
Wales,,12/15/2020,,,,,2198,,,,697
Wales,,12/16/2020,,,,,2198,,,,697
Wales,,12/17/2020,,,,,2198,,,,697
Wales,,12/18/2020,,,,,2198,,,,697
Wales,,12/19/2020,,,,,2198,,,,697
Wales,,12/20/2020,23567,23567,,,2198,0.75,0.75,,697
Wales,,12/21/2020,,,,,2136,,,,677
Wales,,12/22/2020,,,,,2074,,,,658
Wales,,12/23/2020,,,,,2012,,,,638
Wales,,12/24/2020,,,,,1950,,,,618
Wales,,12/25/2020,,,,,1887,,,,599
Wales,,12/26/2020,,,,,1825,,,,579
Wales,,12/27/2020,35910,35910,,,1763,1.14,1.14,,559
Wales,,12/28/2020,,,,,1796,,,,570
Wales,,12/29/2020,,,,,1830,,,,580
Wales,,12/30/2020,,,,,1863,,,,591
Wales,,12/31/2020,,,,,1896,,,,601
Wales,,1/1/2021,,,,,1929,,,,612
Wales,,1/2/2021,,,,,1962,,,,622
Wales,,1/3/2021,49876,49851,25,,1995,1.58,1.58,0,633
Wales,,1/4/2021,,,,,2450,,,,777
Wales,,1/5/2021,,,,,2904,,,,921
Wales,,1/6/2021,,,,,3359,,,,1065
Wales,,1/7/2021,,,,,3814,,,,1210
Wales,,1/8/2021,,,,,4268,,,,1354
Wales,,1/9/2021,,,,,4723,,,,1498
Wales,,1/10/2021,86118,86039,79,,5177,2.73,2.73,0,1642
Wales,,1/11/2021,91336,91239,97,5218,5183,2.9,2.89,0,1644
Wales,,1/12/2021,101479,101371,108,10143,5893,3.22,3.22,0,1869
Wales,,1/13/2021,113094,112973,121,11615,6812,3.59,3.58,0,2161
Wales,,1/14/2021,126504,126375,129,13410,7988,4.01,4.01,0,2534
Wales,,1/15/2021,,,,,8460,,,,2683
Wales,,1/16/2021,,,,,8931,,,,2833
Wales,,1/17/2021,151938,151737,201,,9403,4.82,4.81,0.01,2982
Wales,,1/18/2021,162197,161932,265,10259,10123,5.14,5.14,0.01,3211
Wales,,1/19/2021,176186,175816,370,13989,10672,5.59,5.58,0.01,3385
Wales,,1/20/2021,190831,190435,396,14645,11105,6.05,6.04,0.01,3522
Wales,,1/21/2021,212732,212317,415,21901,12318,6.75,6.73,0.01,3907
Wales,,1/22/2021,241016,240547,469,28284,15148,7.64,7.63,0.01,4804
Wales,,1/23/2021,265054,264538,516,24038,17371,8.41,8.39,0.02,5510
Wales,,1/24/2021,271376,270833,543,6322,17063,8.61,8.59,0.02,5412
Wales,,1/25/2021,290147,289566,581,18771,18279,9.2,9.18,0.02,5798
World,OWID_WRL,12/14/2020,297,297,,,,0,0,,
World,OWID_WRL,12/15/2020,1529663,1529663,,1529366,1529366,0.02,0.02,,196
World,OWID_WRL,12/16/2020,1532183,1532183,,2520,765943,0.02,0.02,,98
World,OWID_WRL,12/17/2020,1535701,1535701,,3518,511801,0.02,0.02,,66
World,OWID_WRL,12/18/2020,1539115,1539115,,3414,384704,0.02,0.02,,49
World,OWID_WRL,12/19/2020,1540451,1540451,,1336,308031,0.02,0.02,,40
World,OWID_WRL,12/20/2020,2773845,2773845,,1233394,462258,0.04,0.04,,59
World,OWID_WRL,12/21/2020,2862851,2862851,,89006,408936,0.04,0.04,,52
World,OWID_WRL,12/22/2020,2935933,2935933,,73082,200896,0.04,0.04,,26
World,OWID_WRL,12/23/2020,3439120,3439120,,503187,272420,0.04,0.04,,35
World,OWID_WRL,12/24/2020,3535877,3535822,,96757,285739,0.05,0.05,,37
World,OWID_WRL,12/25/2020,3579107,3579052,,43230,291427,0.05,0.05,,37
World,OWID_WRL,12/26/2020,4554814,4554759,,975707,430623,0.06,0.06,,55
World,OWID_WRL,12/27/2020,5037831,5037775,1,483017,323427,0.06,0.06,0,41
World,OWID_WRL,12/28/2020,5407818,5406668,1,369987,363567,0.07,0.07,0,47
World,OWID_WRL,12/29/2020,5667514,5664297,1,259696,390226,0.07,0.07,0,50
World,OWID_WRL,12/30/2020,6645537,6640992,1,978023,458060,0.09,0.09,0,59
World,OWID_WRL,12/31/2020,9944820,9905874,1,3299283,915563,0.13,0.13,0,117
World,OWID_WRL,1/1/2021,10064730,10025784,1,119910,926518,0.13,0.13,0,119
World,OWID_WRL,1/2/2021,12428227,12389281,1,2363497,1124773,0.16,0.16,0,144
World,OWID_WRL,1/3/2021,13090503,13020647,21621,662276,1150382,0.17,0.17,0,148
World,OWID_WRL,1/4/2021,13892064,13809783,21623,801561,1212035,0.18,0.18,0,155
World,OWID_WRL,1/5/2021,15450037,14533614,21623,1557973,1397503,0.2,0.19,0,179
World,OWID_WRL,1/6/2021,16420733,15489909,21623,970696,1396457,0.21,0.2,0,179
World,OWID_WRL,1/7/2021,17695869,16689886,21627,1275136,1107293,0.23,0.21,0,142
World,OWID_WRL,1/8/2021,19126530,17988464,21632,1430661,1294543,0.25,0.23,0,166
World,OWID_WRL,1/9/2021,23988855,22771969,21659,4862325,1651518,0.31,0.29,0,212
World,OWID_WRL,1/10/2021,25665848,24812995,647390,1676993,1796478,0.33,0.32,0.01,230
World,OWID_WRL,1/11/2021,28775465,27872164,687198,3109617,2126200,0.37,0.36,0.01,273
World,OWID_WRL,1/12/2021,30004965,29038739,738352,1229500,2079275,0.38,0.37,0.01,267
World,OWID_WRL,1/13/2021,33439275,31379692,806413,3434310,2431220,0.43,0.4,0.01,312
World,OWID_WRL,1/14/2021,35974170,33312737,2223905,2534895,2611186,0.46,0.43,0.03,335
World,OWID_WRL,1/15/2021,38731136,35755289,2536082,2756966,2800658,0.5,0.46,0.03,359
World,OWID_WRL,1/16/2021,39762010,36750352,2564796,1030874,2253308,0.51,0.47,0.03,289
World,OWID_WRL,1/17/2021,40696559,37573548,2672905,934549,2147244,0.52,0.48,0.03,275
World,OWID_WRL,1/18/2021,42047380,38873235,2835802,1350821,1895988,0.54,0.5,0.04,243
World,OWID_WRL,1/19/2021,47080113,43274305,3450338,5032733,2439307,0.6,0.56,0.04,313
World,OWID_WRL,1/20/2021,54514715,50522006,3827001,7434602,3010777,0.7,0.65,0.05,386
World,OWID_WRL,1/21/2021,57448296,52897182,4360874,2933581,3067732,0.74,0.68,0.06,394
World,OWID_WRL,1/22/2021,61255730,56153916,4888346,3807434,3217799,0.79,0.72,0.06,413
World,OWID_WRL,1/23/2021,64239590,58706844,5307411,2983860,3496797,0.82,0.75,0.07,449
World,OWID_WRL,1/24/2021,66486960,60545098,5706619,2247370,3684343,0.85,0.78,0.07,473
World,OWID_WRL,1/25/2021,69183821,62877454,6170793,2696861,3876634,0.89,0.81,0.08,497
World,OWID_WRL,1/26/2021,71096003,64381545,6557622,1912182,3430841,0.91,0.83,0.08,440
